Id,First Name,Last Name,Stars,Position,Archetype,Overall,Height,Weight,School,Hometown,State,Carrying,Agility,Catching,Zone Coverage,Man Coverage,Football IQ,Kick Accuracy,Kick Power,Pass Block,Pass Rush,Punt Accuracy,Punt Power,Route Running,Run Block,Run Defense,Speed,Strength,Tackle,Throw Power,Throw Accuracy,Injury,Stamina,Discipline,Academic,Free Agency,Personality,Recruiting,Work Ethic,Progression,Potential,Year,Team,Redshirt,JerseyNum
1317,Ryan,Hill,3,OT,Run Blocking,44,75,311,East Nicolaus,Nicolaus,CA,14,22,15,17,20,29,4,12,33,17,10,7,8,57,13,27,61,14,15,11,65,68,76,Sits at the back in class,I'm the starter,Average,Legacy,Quiet,68,A,4,1,FALSE,
1457,James,Lee,3,FS,Man Coverage,42,72,195,Gateway,Kissimmee,FL,15,47,21,38,58,34,8,3,8,9,3,4,14,8,29,62,15,27,16,15,36,33,53,Average,Average,Average,Prefers to play for a team where he can start immediately,Skips Leg Day,58,B,4,1,FALSE,
1826,Sam,Graham,3,OLB,Run Stopper,39,74,253,St. Mary Catholic Central,Monroe,MI,17,32,11,38,38,33,5,10,5,21,9,4,5,6,54,44,50,42,12,10,63,62,54,Average,Average,Average,Average,Average,50,B,4,1,FALSE,
2059,David,Dickson,2,ILB,Field General,39,73,233,Westminster Christian,Huntsville,AL,9,37,11,41,27,47,7,6,8,22,6,3,11,2,39,53,40,37,7,13,55,40,26,Average,Average,Average,Prefers to play for a recent national championship winner,Track Athlete,68,A-,4,1,FALSE,
2710,D.J.,James,2,SS,Ball Hawk,34,71,195,Ascension Catholic,Donaldsonville,LA,12,39,34,37,40,24,10,10,7,7,10,9,3,6,34,48,16,20,9,7,63,41,47,Average,Average,Average,Legacy,Average,47,C+,4,1,FALSE,
2987,J.J.,Verrett,2,FB,Rushing,36,71,230,Coronado,Lubbock,TX,25,34,21,11,10,24,9,5,40,11,11,9,3,41,8,51,47,17,14,6,40,35,52,Average,Average,Book Worm,Average,Average,45,C+,4,1,FALSE,
1653,Alex,Dirks,3,DE,Balanced,41,74,278,Brandon,Ortonville,MI,18,38,18,18,11,31,3,4,9,42,11,4,7,5,43,51,39,47,10,16,70,41,51,Average,Average,Dramatic,Average,Average,52,B,4,1,FALSE,
1794,Ben,Hall,3,WR,Speed,43,72,193,Evanston,Evanston,IL,34,41,37,20,15,31,6,4,6,12,2,10,36,13,4,75,28,1,19,16,75,42,56,Average,Average,Average,Multi-Sport,Average,55,B-,4,1,FALSE,
1962,Joe,Corcoran,2,OT,Pass Blocking,33,76,287,St. Amant,St. Amant,LA,11,18,12,9,5,25,9,3,39,15,8,10,2,25,1,17,50,15,6,13,59,80,67,Average,Championship seeking,Average,Average,Average,20,D,4,1,FALSE,
2085,Ranger,Fuller,2,CB,Zone Coverage,40,71,186,Clarksville,Clarksville,TN,12,44,16,51,36,28,5,9,2,3,4,10,11,3,6,55,18,19,9,9,63,57,33,Average,Average,Average,Average,Average,58,B-,4,1,FALSE,
2535,Brock,Hunt,2,RB,Receiving,36,69,204,Ben L. Smith,Greensboro,NC,18,40,34,6,9,26,11,2,26,5,8,5,29,6,13,63,17,9,6,13,61,66,39,Average,Adversarial,Average,Prefers to be close to home,Average,53,C+,4,1,FALSE,
2766,Ryan,Bader,2,QB,Field General,34,74,219,Dillard,Fort Lauderdale,FL,14,17,8,11,15,45,11,5,5,4,3,3,5,7,4,36,22,10,34,37,47,34,42,Average,Average,Vindictive,Average,Gym Rat,54,B-,4,1,FALSE,
2875,Matt,Hill,2,OLB,Pass Rush,34,74,248,Muskegon,Muskegon,MI,8,38,10,28,18,28,12,4,10,49,12,1,8,4,28,46,26,41,10,10,9,39,47,Average,Average,Average,Average,Average,48,C,4,1,FALSE,
2944,Jerome,Banjo,2,TE,Receiving,35,75,236,Hoggard,Wilmington,NC,28,35,36,17,11,25,6,4,34,17,5,13,27,35,17,48,51,16,12,6,62,28,50,Tutor,Money motivated,Motivational,Prefers to play for a national championship contender,Average,64,A-,4,1,FALSE,
5362,Reyes,Ioannidis,4,FS,Ball Hawk,43,73,192,Largo,Largo,FL,22,46,43,48,48,32,9,9,11,8,15,13,14,11,29,58,24,29,23,18,43,76,48,Average,Average,Average,Average,Average,52,C+,3,1,FALSE,
5372,Mike,Wynn,4,OG,Balanced,44,76,297,South Hagerstown,Hagerstown,MD,24,35,30,25,18,36,12,14,41,17,12,7,15,46,19,27,57,25,17,22,56,56,40,Average,Hates Tags,Average,Average,Gym Rat,55,B+,3,1,FALSE,
5160,Rafael,Langi,4,P,Power,33,73,196,North Florida Christian,Tallahassee,FL,25,25,20,20,18,31,23,19,12,16,26,41,9,7,13,26,14,12,24,19,27,46,63,Average,Average,Average,Average,Average,54,C+,3,1,FALSE,
5165,Anthony,Sweeney,4,QB,Scrambler,41,73,231,Hickory Ridge,Harrisburg,NC,36,41,20,24,20,36,14,13,13,17,13,12,9,9,8,74,38,20,38,38,20,51,81,Average,Average,Average,Prefers to play for a recent national championship winner,Average,62,B-,3,1,FALSE,
5565,Jorge,Fried,3,OT,Run Blocking,38,74,301,Coalgate,Coalgate,OK,11,24,15,19,12,31,4,4,29,14,10,8,5,43,12,24,53,16,10,18,52,32,28,Average,Average,Average,Average,Average,50,B-,3,1,FALSE,
5675,Kosta,Vigil,3,WR,Route Runner,40,69,178,Notre Dame (SO),Sherman Oaks,CA,24,43,40,10,12,31,9,9,1,5,9,11,39,16,6,57,24,3,13,11,67,62,41,Wants to finish degree,Average,Average,Average,Average,47,C+,3,1,FALSE,
5757,Marshon,Redick,3,FB,Blocking,37,72,244,Stow-Munroe Falls,Stow,OH,17,29,22,13,16,30,3,1,46,6,7,8,2,45,6,38,49,13,18,19,63,51,45,Average,Average,Average,Average,Average,43,C+,3,1,FALSE,
5841,Arquimedes,Munoz,3,CB,Ball Hawk,38,70,186,Christian Academy-Louisville,Louisville,KY,21,43,34,39,38,26,5,6,9,3,1,7,3,3,9,54,16,15,16,16,69,52,61,Average,Average,Average,Average,Average,42,C+,3,1,FALSE,
6158,Chris,Kingsale,3,ILB,Coverage,34,73,218,Shoreham-Wading River,Shoreham,NY,20,34,22,41,43,23,1,7,8,17,6,4,10,11,37,50,31,46,12,14,46,78,54,Never Studies,Average,Average,Prefers to play for a national championship contender,Average,30,C-,3,1,FALSE,
6215,Craig,Bird,3,DE,Run Stopper,36,76,281,Tupelo,Tupelo,MS,12,27,15,14,19,24,8,4,1,33,6,4,8,5,42,45,46,42,10,18,64,73,51,Seeks out tutoring,Average,Average,Average,Focuses on Max Reps,31,C,3,1,FALSE,
6309,Jose,Johnson,3,RB,Speed,34,71,197,Colerain,Cincinnati,OH,28,29,22,18,13,26,5,8,22,8,10,7,6,4,1,68,27,20,13,18,51,52,55,Average,Average,Average,Average,Focuses on Max Reps,21,D,3,1,FALSE,
6428,Kam,Arcia,3,TE,Blocking,33,77,257,McKinney North,McKinney,TX,26,30,28,16,12,28,5,0,38,21,4,6,19,41,10,45,53,18,13,13,45,54,80,Sits at the front in class,Average,Average,Average,Average,32,C,3,1,FALSE,
6712,Yurendell,Waiters,3,DT,Balanced,37,74,285,Charlton County,Folkston,GA,14,30,22,19,22,26,3,2,4,36,8,11,2,9,40,31,39,45,10,12,48,52,60,Average,Average,Introvert,Prefers to play in a different state,Average,38,C,3,1,FALSE,
6891,Edgmer,Semisch,2,OLB,Run Stopper,32,74,246,Smyrna,Smyrna,DE,10,30,9,29,30,25,6,7,11,15,3,2,2,1,44,37,44,37,13,14,64,56,39,Average,Average,Average,Average,Average,54,B-,3,1,FALSE,
7599,Tajae,Gray,2,SS,Man Coverage,32,70,203,Atlee,Mechanicsville,VA,8,35,9,29,47,21,9,4,4,10,10,9,7,1,29,50,14,22,14,9,35,38,41,Average,Average,Average,Average,Average,40,C+,3,1,FALSE,
8020,Cassius,Cashner,2,C,Balanced,30,74,295,Bloomingdale,Valrico,FL,6,15,13,10,7,20,7,3,31,13,3,6,5,31,8,18,45,9,5,7,81,69,54,Average,Average,Average,Average,Footwork king,35,D+,3,1,FALSE,
6660,Julian,Thomas,3,DE,Balanced,36,76,279,Bulloch Academy,Statesboro,GA,19,40,20,13,17,30,5,8,10,35,2,2,3,8,36,46,38,38,11,19,37,52,63,Average,Average,Average,Average,Average,55,B+,3,1,FALSE,
6809,Cameron,Basham,2,RB,Speed,29,70,206,Ridge Point,Missouri City,TX,22,27,13,7,10,26,6,11,22,11,11,12,3,10,2,62,19,11,13,9,75,52,14,Average,Average,Average,Average,Average,58,A-,3,1,FALSE,
6938,Seantrel,Simon,2,WR,Speed,30,70,187,Dudley,Greensboro,NC,19,28,27,9,11,19,0,8,2,7,4,8,26,7,9,57,15,2,5,9,53,26,80,Studious,Average,Average,Prefers to play for a team with a rich history,Loud,14,D+,3,1,FALSE,
7077,James,Abreu,2,QB,Scrambler,33,73,209,Georgiana,Georgiana,AL,28,29,11,8,9,27,4,5,5,11,10,6,8,2,10,64,29,15,33,31,51,68,63,Average,Average,Disruptive,Average,Average,57,B,3,1,FALSE,
7369,Dan,Verdugo,2,OT,Run Blocking,33,76,295,McEachern,Powder Springs,GA,9,13,10,7,14,18,1,9,29,9,3,7,9,41,5,19,48,15,12,10,23,34,33,Wants to finish degree,Average,Average,Prefers to play for a specific coach,Focuses on Max Reps,44,C,3,1,FALSE,
7638,David,Borbon,2,CB,Ball Hawk,34,71,189,Franklin County,Rocky Mount,VA,7,41,32,37,36,20,5,8,8,7,3,8,5,8,5,46,11,15,13,8,42,38,27,Average,Average,Uncooperative,Prefers to play for an up-and-coming team,Average,42,C+,3,1,FALSE,
7815,Lou,Madison,2,DT,Pass Rusher,28,75,281,Bertie,Windsor,NC,11,29,5,10,9,22,8,4,10,27,1,9,2,4,27,33,27,39,8,5,43,24,48,Average,Average,Average,Average,Average,37,C,3,1,FALSE,
7874,Ante,Gotsis,2,OLB,Run Stopper,30,75,244,Timberline,Lacey,WA,11,22,9,25,21,21,9,4,5,17,2,9,10,2,45,40,40,34,12,7,43,39,58,Average,Average,Eccentric,Average,Average,44,C+,3,1,FALSE,
10058,Giannis,Wright,4,CB,Zone Coverage,41,71,185,Douglass,Atlanta,GA,19,42,16,57,38,31,9,11,11,12,16,7,13,8,11,54,14,24,24,15,43,49,37,Borderline failing,Hometown hero,Average,Average,Average,56,B-,2,1,FALSE,
11039,Jose,Sosa,3,RB,Power,32,71,225,Saint Stephen's Episcopal,Bradenton,FL,38,31,17,12,12,24,5,8,29,7,1,9,2,4,7,59,30,16,19,15,62,50,50,Average,Wants extensions,Average,Average,Average,61,B,2,1,FALSE,
10426,Tenny,Witherspoon,4,ILB,Run Stopper,38,74,249,Pittsburg,Pittsburg,TX,23,37,17,38,32,26,12,13,11,22,14,10,14,8,53,47,48,44,20,24,51,88,63,Average,Average,Average,Average,Average,40,C+,2,1,FALSE,
10167,Zach,Light,4,SS,Run Stopper,38,71,212,A&M Consolidated,College Station,TX,18,41,10,36,39,31,7,10,9,9,14,11,9,9,41,52,36,36,24,24,14,28,34,Average,Average,Motivational,Average,Average,47,C+,2,1,FALSE,
10574,Jeff,Taylor,3,OLB,Pass Rush,33,77,244,Westwood,Blythewood,SC,11,41,17,25,21,25,9,3,8,48,1,4,9,3,24,48,27,42,11,14,36,63,45,Average,Average,Average,Prefers to play for a recent national championship winner,Average,41,C,2,1,FALSE,
10671,Shaun,Goolsby,3,WR,Possesion,36,73,194,American Leadership Academy,Queen Creek,AZ,22,32,43,12,19,28,8,10,1,5,5,10,28,18,5,52,20,9,14,19,47,82,56,Average,Average,Average,Prefers to be close to home,Average,45,C+,2,1,FALSE,
10745,Darrell,Bradley,3,DE,Speed Rusher,35,77,242,Liberty-Eylau,Texarkana,TX,17,40,21,21,20,26,3,4,9,41,10,10,11,1,30,48,38,32,10,13,41,17,48,Takes AP classes,Average,Average,Average,Average,58,B+,2,1,FALSE,
10847,Jason,Harris,3,DT,Pass Rusher,30,73,291,Copperas Cove,Copperas Cove,TX,10,33,17,14,14,22,8,7,5,35,7,4,4,11,24,34,31,38,14,15,66,76,14,Average,Average,Average,Average,Average,40,C+,2,1,FALSE,
11188,Nefi,Golditch,3,C,Run Blocking,34,76,295,Fitzgerald,Fitzgerald,GA,14,15,16,19,15,24,11,1,30,20,6,8,5,41,15,21,51,20,17,11,26,77,51,Studious,Average,Average,Average,Average,45,C+,2,1,FALSE,
11204,Koyie,Keuchel,3,OT,Run Blocking,35,78,308,McKinney North,McKinney,TX,16,17,14,15,11,26,1,5,24,16,4,3,7,45,13,23,51,15,19,14,53,83,35,Average,Average,Average,Open-Minded,Average,38,C-,2,1,FALSE,
11419,Brett,Zizic,3,OG,Balanced,35,76,284,Los Alamitos,Los Alamitos,CA,17,17,15,15,14,22,8,8,33,16,2,8,11,37,14,24,51,19,17,16,29,26,38,Average,Wants extensions,Outgoing,Average,Average,46,B-,2,1,FALSE,
11494,Taquan,Weong Seo,3,QB,Scrambler,35,74,218,Lawndale,Lawndale,CA,31,33,12,16,15,30,7,7,2,9,9,3,9,4,6,66,29,19,34,34,55,60,46,Average,Average,Average,Average,Average,45,C,2,1,FALSE,
12085,Wesley,Wood,2,TE,Blocking,26,78,253,Northeast,Pride,LA,15,21,20,11,15,17,7,8,36,15,10,0,16,35,5,38,46,13,14,10,53,29,61,Average,Average,Average,Average,Average,52,B-,2,1,FALSE,
12304,Ramon,Lynch,2,FS,Ball Hawk,29,72,195,Selah,Selah,WA,9,37,32,30,34,17,5,1,2,4,11,4,11,4,22,42,12,14,8,8,82,46,20,Average,Average,Motivation,Average,Skips Leg Day,51,C+,2,1,FALSE,
12788,Ben,Pierre-Louis,2,FB,Rushing,30,72,226,Minster,Minster,OH,20,29,19,14,13,23,3,7,31,2,8,2,2,34,6,49,38,10,5,11,53,62,61,Average,Average,Absent Minded,Average,Average,67,B+,2,1,FALSE,
12844,Frank,Lopez,2,K,Power,28,73,183,South Dade,Homestead,FL,7,14,8,9,14,23,17,42,3,10,14,7,3,1,7,13,9,5,10,13,61,67,62,Average,Average,Average,Average,Average,55,B,2,1,FALSE,
11634,Antone,Weeks,3,DE,Speed Rusher,36,74,242,Harlem,Machesney Park,IL,18,43,14,13,16,25,3,9,6,39,7,2,5,4,32,50,37,38,19,17,53,30,52,Average,Average,Average,Average,Average,80,A+,2,1,FALSE,
11769,Isiah,Pettis,3,WR,Possesion,36,74,187,Fort Zumwalt North,O'Fallon,MO,20,34,46,11,12,26,11,8,10,6,3,7,29,15,9,48,22,2,14,19,16,49,45,Average,Drafted team discount,Average,Average,Quiet,37,C,2,1,FALSE,
11961,A.J.,Hughes,2,CB,Ball Hawk,30,70,184,Liberty Hill,Liberty Hill,TX,7,32,32,30,30,17,10,2,3,8,1,5,12,4,6,47,6,12,11,14,60,38,67,Average,Average,Average,Average,Average,51,B,2,1,FALSE,
12079,Jorge,Haeg,2,QB,Balanced,28,72,194,Trotwood-Madison,Trotwood,OH,7,20,16,15,9,24,5,9,4,8,0,7,7,9,6,31,19,8,34,34,67,82,44,Average,Money motivated,Average,Prefers to play in a different state,Quiet,33,C,2,1,FALSE,
12462,Matt,Jones Jr.,2,RB,Receiving,30,69,206,Carlsbad,Carlsbad,CA,22,32,33,8,9,22,8,3,24,9,8,11,23,4,2,54,13,9,6,11,70,40,44,Studies hard,Average,Frail,Average,Average,51,C+,2,1,FALSE,
12656,Ron,Hughes,2,OT,Pass Blocking,32,76,286,Excelsior Springs,Excelsior Springs,MO,13,13,8,12,10,23,5,4,42,5,8,8,3,24,8,17,41,13,10,11,36,85,53,Studious,Average,Average,Average,Gym Rat,56,B-,2,1,FALSE,
12893,Chris,Jones,2,OG,Run Blocking,33,76,301,Point Loma,San Diego,CA,14,14,8,12,6,21,8,1,26,12,7,4,10,39,10,20,49,10,7,5,65,56,38,Average,Average,Average,Average,Average,60,B-,2,1,FALSE,
12968,Erik,Kingery,2,DT,Pass Rusher,28,74,283,Bowling Green,Bowling Green,KY,9,28,14,12,13,21,1,9,8,33,5,9,9,5,26,28,27,35,9,5,18,71,86,Average,Average,Average,Average,Hard-working,58,B+,2,1,FALSE,
15617,James,McCray,3,K,Power,27,71,184,Woodstock,Woodstock,GA,17,12,13,20,18,23,18,39,7,4,16,13,8,1,9,13,3,5,13,13,80,45,49,Class Clown,Average,Average,Average,Average,31,D+,1,1,FALSE,
15058,Yhonathan,Madison,4,DE,Speed Rusher,38,77,246,Kingsman Academy,Washington,DC,23,42,21,19,19,29,15,7,14,45,8,6,6,10,34,45,33,38,24,23,29,38,58,Average,Average,Average,Average,Average,51,C+,1,1,FALSE,
15131,Jalen,Peterson,4,OT,Pass Blocking,38,74,282,Woodville,Woodville,TX,21,23,16,20,15,25,7,15,49,25,5,5,11,27,6,24,52,25,19,16,14,53,50,Average,Average,Average,Prefers to play with former teammates,Average,55,C+,1,1,FALSE,
15160,Quenton,Ogbah,4,QB,Field General,35,73,209,Choctaw,Choctaw,OK,16,17,20,16,21,47,7,11,13,10,13,7,9,7,13,36,22,17,33,41,41,70,38,Average,Average,Average,Average,Average,54,B+,1,1,FALSE,
15529,Aaron,Wick,3,OG,Run Blocking,33,78,304,Elkton,Elkton,MD,11,13,10,10,18,22,2,2,24,14,1,7,1,43,9,23,47,11,15,16,26,32,69,Average,Average,Focused,Average,Focuses on Max Reps,55,B+,1,1,FALSE,
15614,Anthony,Denker,3,OLB,Coverage,30,73,245,Irwin County,Ocilla,GA,11,31,24,36,34,23,2,7,4,21,9,5,4,9,34,42,32,33,18,18,67,31,36,Takes AP classes,Wants extensions,Average,Average,Average,41,C,1,1,FALSE,
15693,Nick,Flowers,3,WR,Possesion,33,74,184,Lincoln,Tallahassee,FL,23,32,45,18,16,19,7,10,4,6,3,2,24,14,10,45,19,9,11,11,44,42,39,Average,Average,Tough,Average,Average,41,C,1,1,FALSE,
15787,Fernando,Van Noy,3,TE,Vertical Threat,28,74,228,Loyola,Los Angeles,CA,18,27,28,19,14,20,7,8,26,22,2,2,15,33,11,49,36,11,16,14,43,62,54,Class Clown,Average,Average,Average,Lazy,26,C-,1,1,FALSE,
16091,Marvin,Koufos,3,RB,Speed,29,71,196,Abingdon,Abingdon,VA,22,25,14,11,11,23,8,9,24,1,8,9,7,9,2,60,24,15,17,19,79,51,11,Average,Average,Average,Average,Skips Leg Day,53,B-,1,1,FALSE,
16146,Will,Fornataro,3,CB,Ball Hawk,33,71,180,Vero Beach,Vero Beach,FL,16,40,34,31,34,23,5,9,3,4,2,4,8,4,8,46,11,14,15,13,49,62,16,More likely to get academic probation,Average,Introvert,Average,Average,44,C+,1,1,FALSE,
16302,James,Bradley,3,DT,Nose Tackle,31,76,311,Christian Academy-Louisville,Louisville,KY,13,23,14,13,18,21,8,2,6,23,9,8,7,9,31,21,49,33,17,13,44,54,70,Average,Average,Introvert,Average,Average,68,B+,1,1,FALSE,
16376,Edmond,Harris,3,ILB,Field General,33,73,228,Dunbar,Fort Myers,FL,11,32,14,40,30,37,9,8,1,15,7,5,2,9,35,39,29,33,14,14,62,27,56,Average,Average,Average,Prefers to play for a recent national championship winner,Average,50,B-,1,1,FALSE,
17060,Jake,Coello,2,SS,Zone Coverage,27,71,199,Saguaro,Scottsdale,AZ,14,26,6,41,23,28,1,1,0,9,9,5,9,1,24,39,10,12,12,13,37,93,20,Distracted,Average,Average,Average,Average,43,C,1,1,FALSE,
17222,Jon,Rice,2,FS,Ball Hawk,26,71,193,Hononegah,Rockton,IL,12,35,23,25,31,17,9,3,2,0,4,0,2,4,15,41,10,19,9,7,46,62,47,Average,Wants extensions,Average,Average,Average,55,B,1,1,FALSE,
17758,Shalom,Garton,2,P,Power,20,72,185,New Deal,New Deal,TX,10,7,8,11,9,17,13,7,7,3,12,30,9,5,5,13,8,8,11,12,48,31,64,Average,Average,Average,Average,Average,33,C,1,1,FALSE,
17932,Tanner,Arcidiacono,2,FB,Blocking,26,72,244,Naples,Naples,FL,10,17,9,6,7,17,0,4,32,5,9,10,0,37,9,28,35,6,8,9,30,53,54,Average,Average,Average,Average,Average,22,D+,1,1,FALSE,
16610,Chris,Saunders,3,WR,Possesion,33,74,185,Oxford,Oxford,MS,21,29,45,10,16,21,5,6,10,6,5,0,22,16,6,47,23,1,18,16,51,60,50,Average,Average,Irrational,Prefers to play for a recent national championship winner,Average,47,C+,1,1,FALSE,
16742,Elijah,Moseley,3,RB,Receiving,33,70,196,Pike County,Zebulon,GA,23,35,31,15,15,25,4,6,23,6,1,8,31,2,9,55,22,17,12,15,16,66,62,Sits at the back in class,Adversarial,Average,Average,Average,66,B,1,1,FALSE,
16872,Guillermo,Turner,2,DE,Balanced,24,75,274,St. Martin,Ocean Springs,MS,7,24,10,11,8,15,0,0,6,26,9,1,2,10,23,32,26,25,9,10,49,39,44,Class Clown,Average,Average,Average,Lazy,36,C-,1,1,FALSE,
17036,Kenneth,DeCastro,2,OLB,Coverage,25,74,235,Alliance,Alliance,OH,13,27,11,31,31,16,3,1,6,14,10,6,5,9,30,35,30,29,13,13,34,71,44,Average,Average,Uncooperative,Average,Average,48,C+,1,1,FALSE,
17391,Brandon,Church,2,OT,Run Blocking,27,73,296,Westfield,Houston,TX,11,12,7,14,9,19,7,0,19,9,3,1,6,34,9,18,40,12,9,14,41,41,46,Average,Highest bidder,Average,Average,Average,46,B-,1,1,FALSE,
17662,Bernard,Hughes,2,CB,Zone Coverage,28,70,180,Carson,Carson,CA,9,31,7,35,23,18,2,5,6,2,6,5,4,1,4,45,13,10,14,10,53,63,52,Tutor,Average,Average,Average,Average,44,C+,1,1,FALSE,
17858,Troy,Bryant,2,QB,Scrambler,27,73,239,Eagle's Landing Christian Academy,McDonough,GA,28,25,10,9,14,17,3,4,3,7,3,4,4,1,3,66,21,12,24,28,28,68,62,Average,Average,Average,Average,Average,55,C+,1,1,FALSE,
17965,Jon,Garcia,2,TE,Receiving,25,76,241,Northeast,Philadelphia,PA,19,23,29,7,9,20,10,4,27,12,7,6,19,23,14,35,37,10,12,11,40,52,59,Average,Loyal,Average,Average,Average,58,A-,1,1,FALSE,
294,Josh,Pennel,4,QB,Pocket,48,76,218,Bulloch Academy,Statesboro,GA,23,24,20,20,25,43,13,10,12,13,11,9,9,9,12,47,26,18,58,61,55,36,41,Average,Average,Average,Prefers to play with former teammates,Average,52,B-,4,2,FALSE,
325,Mitch,Johnson,4,OG,Balanced,47,77,287,Lake Mary,Lake Mary,FL,19,38,29,25,16,34,12,10,49,20,11,9,12,46,12,25,59,26,17,17,48,37,35,Teacher's Pet,Average,Average,Average,Average,44,B-,4,2,FALSE,
349,Matt,Perez,4,FS,Zone Coverage,50,71,194,Weslaco,Weslaco,TX,27,55,13,62,51,50,12,16,8,13,9,11,14,9,40,64,27,32,15,16,46,47,66,Average,Average,Average,Average,Average,67,B+,4,2,FALSE,
363,Ben,Storen,4,DE,Run Stopper,43,76,278,Ogden,Ogden,UT,21,41,23,22,19,36,10,9,6,39,12,7,10,13,48,48,51,47,24,23,63,44,50,Average,I'm the starter,Average,Prefers to play with former teammates,Working-Class mentality,41,C,4,2,FALSE,
832,Rene,Stamets,3,WR,Route Runner,43,70,171,Pearland,Pearland,TX,25,48,43,23,16,29,8,4,3,9,1,2,45,13,2,62,21,2,14,17,62,34,61,Average,Highest bidder,Average,Average,Average,40,C,4,2,FALSE,
913,Steve,Rondon,3,OT,Pass Blocking,42,78,297,Ralston Valley,Arvada,CO,19,19,20,13,18,30,7,11,53,17,4,1,9,33,17,25,58,14,13,16,74,54,58,Average,Average,Flamboyant,Multi-Sport,Skips Leg Day,42,C+,4,2,FALSE,
972,Jawill,Kelly,3,TE,Receiving,38,75,244,Mainland,Daytona Beach,FL,34,43,38,12,16,28,2,5,40,22,11,11,30,38,21,51,52,20,12,12,52,47,28,Average,Average,Average,Prefers to be close to home,Average,48,B,4,2,FALSE,
1005,Reyes,Freeman,3,DT,Balanced,39,75,297,Flagler Palm Coast,Palm Coast,FL,20,34,17,14,21,31,9,2,8,38,8,6,9,8,37,29,44,46,11,16,45,42,73,Average,Loyal,Average,Average,Working-Class mentality,58,B-,4,2,FALSE,
1373,Christian,Adams,3,RB,Receiving,42,70,203,Huntington,Ferriday,LA,27,49,42,14,13,33,3,4,30,11,3,2,33,11,7,67,23,19,12,12,66,53,81,Average,Adversarial,Eccentric,Average,Focuses on Max Reps,53,C+,4,2,FALSE,
1480,Skye,Hughes,3,CB,Zone Coverage,43,71,192,Mays,Atlanta,GA,19,49,24,55,37,29,4,8,5,5,11,3,9,5,12,59,23,27,13,15,47,9,65,Average,Average,Jokester,Average,Average,71,A,4,2,FALSE,
1599,Pedro,Jenkins,3,OLB,Speed,36,73,229,Robinson,Tampa,FL,12,41,21,34,35,25,2,8,2,20,8,7,4,3,38,63,43,44,15,13,63,67,42,Class Clown,Average,Average,Average,Average,34,C,4,2,FALSE,
