Team,Nickname,City,State,Enrollment,"Current Conference","Former Conferences","First Played","Joined FBS"
Oklahoma,Sooners,Norman,Oklahoma,"28,500",Big 12,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",1895,
Oklahoma State,Cowboys,Stillwater,Oklahoma,"25,300",Big 12,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",1901,
Old Dominion,Monarchs,Norfolk,Virginia,"25,000",C-USA,CAA,2009,2014
Ole Miss,Rebels,Oxford,Mississippi,"23,200",SEC,"SIAA, SoCon",1890,
Oregon,Ducks,Eugene,Oregon,"22,700",Pac-12,"PCC, Independent",1894,
Oregon State,Beavers,Corvallis,Oregon,"30,900",Pac-12,"PCC, Independent",1893,
Penn State,Nittany Lions,University Park,Pennsylvania,"46,600",Big Ten,,1881,
Pittsburgh,Panthers,Pittsburgh,Pennsylvania,"28,600",ACC,Big East,1890,
Purdue,Boilermakers,West Lafayette,Indiana,"43,400",Big Ten,IIAA,1887,
Rice,Owls,Houston,Texas,"7,100",C-USA,"TIAA, SWC, WAC",1912,
Rutgers,Scarlet Knights,Piscataway,New Jersey,"70,900",Big Ten,"Middle Atlantic, Big East, American",1869,
San Diego State,Aztecs,San Diego,California,"34,900",Mountain West,"Southern California Junior College Conference, SCIAC, CCAA, Big West, WAC",1921,1969
San Jose State,Spartans,San Jose,California,"32,800",Mountain West,"California Coast Conference, NCAC, California Collegiate, Big West, WAC",1892,
SMU,Mustangs,University Park,Texas,"11,800",American,"TIAA, SWC, WAC, C-USA[n 3]",1915,
South Alabama,Jaguars,Mobile,Alabama,"15,100",Sun Belt,,2009,2012
South Carolina,Gamecocks,Columbia,South Carolina,"50,100",SEC,"SIAA, SoCon, ACC",1892,
South Florida,Bulls,Tampa,Florida,"50,700",American,"C-USA, Big East",1997,2001
Southern Miss,Golden Eagles,Hattiesburg,Mississippi,"14,500",C-USA,"Gulf States Conference, SIAA",1912,
Stanford,Cardinal,Stanford,California,"16,500",Pac-12,PCC,1891,
Syracuse,Orange,Syracuse,New York,"22,900",ACC,Big East,1889,
TCU,Horned Frogs,Fort Worth,Texas,"10,400",Big 12,"TIAA, SWC, WAC, C-USA, MW",1896,
Temple,Owls,Philadelphia,Pennsylvania,"40,000",American,"Middle Atlantic, Big East, MAC, Big East",1894,
Tennessee,Volunteers,Knoxville,Tennessee,"28,900",SEC,"SIAA, SoCon",1891,
Texas,Longhorns,Austin,Texas,"51,800",Big 12,"SIAA, TIAA, SWC",1893,
Texas A&M,Aggies,College Station,Texas,"69,400",SEC,"SIAA, SWC, Big 12",1894,
Texas State,Bobcats,San Marcos,Texas,"38,800",Sun Belt,"TIAA, Lone Star, Gulf Star, Southland, WAC",1904,2012
Texas Tech,Red Raiders,Lubbock,Texas,"38,200",Big 12,"BIAA, SWC",1925,
Toledo,Rockets,Toledo,Ohio,"23,100",MAC,"Northwestern Ohio Intercollegiate Athletic Association, OAC",1917,
Troy,Trojans,Troy,Alabama,"18,100",Sun Belt,"Alabama Intercollegiate Conference, SIAA, Alabama Collegiate Conference, Mid-South Athletic Conference, Gulf South, Southland",1909,2002
Tulane,Green Wave,New Orleans,Louisiana,"14,100",American,"SIAA, SoCon, SEC, C-USA",1893,
Tulsa,Golden Hurricane,Tulsa,Oklahoma,"4,300",American,"Oklahoma Intercollegiate Conference, Big 4 Conference, MVC, WAC, C-USA",1895,
UAB,Blazers,Birmingham,Alabama,"21,900",C-USA,,1991,1999
UCF,Knights,Orlando,Florida,"68,600",American,"MAC, C-USA",1979,1996
UCLA,Bruins,Los Angeles,California,"45,400",Pac-12,"SCIAC, PCC",1919,
UConn,Huskies,Storrs[n 5],Connecticut,"32,200",Independent,"Yankee, A-10, Big East, American",1896,2000
UMass,Minutemen,Amherst,Massachusetts,"30,600",Independent,"Yankee, A-10, CAA, MAC",1879,2012
UNLV,Rebels,Las Vegas[n 6],Nevada,"30,500",Mountain West,"Big West, WAC",1968,1978
USC,Trojans,Los Angeles,California,"45,700",Pac-12,PCC,1888,
UTEP,Miners,El Paso,Texas,"25,100",C-USA,"BIAA, WAC",1914,
UTSA,Roadrunners,San Antonio,Texas,"30,700",C-USA,WAC,2011,2012
Utah,Utes,Salt Lake City,Utah,"33,000",Pac-12,"Colorado Football Association, RMAC, Mountain States, WAC, MW",1892,
Utah State,Aggies,Logan,Utah,"29,400",Mountain West,"Colorado Football Association, RMAC, Mountain States, Big West, Independent, Sun Belt, WAC",1892,
Vanderbilt,Commodores,Nashville,Tennessee,"13,100",SEC,"SIAA, SoCon",1890,
Virginia,Cavaliers,Charlottesville,Virginia,"24,400",ACC,"SAIAA, SoCon",1888,
Virginia Tech,Hokies,Blacksburg,Virginia,"33,400",ACC,"SAIAA, SIAA, SoCon, Big East",1892,
Wake Forest,Demon Deacons,Winston-Salem,North Carolina,"8,100",ACC,"Big Five Conference, SoCon",1888,
Washington,Huskies,Seattle,Washington,"47,900",Pac-12,PCC,1889,
Washington State,Cougars,Pullman,Washington,"30,600",Pac-12,"PCC, Independent",1893,
West Virginia,Mountaineers,Morgantown,West Virginia,"30,000",Big 12,"SoCon, WVIAC, Big East",1891,
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,"20,300",C-USA,"SIAA, KIAC, OVC, MVFC, Sun Belt",1913,2009
Western Michigan,Broncos,Kalamazoo,Michigan,"22,900",MAC,MCC,1905,
Wisconsin,Badgers,Madison,Wisconsin,"44,400",Big Ten,,1889,
Wyoming,Cowboys,Laramie,Wyoming,"12,400",Mountain West,"Colorado Football Association, RMAC, WAC",,
